,Track ID,Total Time,Year,BPM,Date Added,Play Count,Skip Count,Rating,Name,Artist,Genre
223,1797,212584,2016,127,2016-06-12T09:48:32Z,48,13,,Artsakh,Serj Tankian,
224,1799,297717,2009,84,2016-06-12T10:06:27Z,24,10,20,Crack a Bottle,Eminem,Hip Hop/Rap
225,1801,268173,1999,101,2016-06-12T10:12:53Z,25,6,20,Party Up (Up in Here),DMX,Hip Hop/Rap
226,1803,138135,2005,109,2016-06-12T15:45:13Z,39,10,,Cigaro,System Of A Down,Metal
227,1805,302811,1990,133,2016-06-12T16:53:50Z,47,6,20,Thunderstruck,AC/DC,Rock
228,1807,198844,2003,47,2016-06-24T14:24:54Z,60,6,20,If I Can't,50 Cent,Hip Hop/Rap
229,1809,278517,1984,60,2016-06-24T14:34:13Z,56,10,,Born in The U.S.A.,Bruce Springsteen,Rock
230,1811,307043,2000,154,2016-07-03T15:53:54Z,53,8,,B.O.B.,OutKast,Hip Hop/Rap
231,1813,252656,1994,93,2016-07-03T15:59:04Z,24,16,20,Represent,Nas,Hip Hop/Rap
232,1815,217025,1991,96,2016-07-03T16:02:13Z,32,15,20,Check the Rhime,A Tribe Called Quest,Hip Hop/Rap
233,1817,270733,2000,95,2016-07-05T20:08:44Z,42,10,,Ms. Jackson,OutKast,Hip Hop/Rap
234,1819,242573,1971,73,2016-07-05T20:12:17Z,24,5,,Sweet Thang,Shuggie Otis,Soundtrack
235,1821,177136,2011,89,2016-07-16T17:57:50Z,27,9,,Rigamortus,Kendrick Lamar,Hip Hop/Rap
236,1823,294112,1994,84,2016-07-16T18:03:31Z,30,5,20,N.Y. State of Mind,Nas,Hip Hop/Rap
237,1825,290768,1994,87,2016-07-16T18:15:33Z,32,5,20,The World is Yours,Nas,Hip Hop/Rap
238,1827,252551,1994,94,2016-07-21T19:54:05Z,35,7,20,Halftime,Nas,Hip Hop/Rap
239,1829,221570,1998,160,2016-07-21T19:57:27Z,43,10,20,Fly Away,Lenny Kravitz,Rock
240,1831,237792,2014,110,2016-07-21T20:02:53Z,26,8,20,Hunter,Pharrell Williams,Pop
241,1833,263784,1993,86,2016-07-21T21:01:20Z,30,9,,Keep Ya Head Up,2Pac,Hip Hop/Rap
